In,Ga,Zn,Sn,Temp,Thick,Mobility,Vth,Stability,Feasibility,Reference
0.40890585315627465,0.20262798884230956,0.18153531463250805,0.20693084336890777,390,32,120.33786393085946,-0.9233497313685772,0.9568364060129677,1.0,"Park et al., APL (2025)"
0.49202572641353964,0.45179241380781454,0.05618185977864576,0.0,284,36,43.044716323853756,0.4471696552312582,0.8995246422877144,1.0,"Nomura et al., Nature (2004)"
0.4718585291192542,0.4458483045895565,0.08229316629118932,0.0,254,48,57.46262587775729,0.30339321835822597,1.0245569632692597,1.0,"Nomura et al., Nature (2004)"
0.5727245679032034,0.0,0.42727543209679664,0.0,334,72,311.7364893348179,-1.72,2.4376455022783228,1.0,"Fortunato et al., Adv. Mater (2012)"
0.4995845630653034,0.4039941493688993,0.09642128756579726,0.0,321,46,42.75542925556087,0.15597659747559728,1.03492570530041,1.0,"Nomura et al., Nature (2004)"
0.37451955158178085,0.36044098704721456,0.2650394613710046,0.0,428,35,39.23658084046549,0.09176394818885819,0.9628781964259926,0.7,"Kamiya et al., J. Disp. Tech (2009)"
0.39055234902725555,0.475061568346665,0.13438608262607943,0.0,253,33,35.350555272590775,0.57024627338666,0.6576282703786458,1.0,"Nomura et al., Nature (2004)"
0.4218622497533374,0.4051694822943921,0.1729682679522705,0.0,406,45,46.59649586167366,0.17067792917756835,1.0695726056858739,0.7,"Kamiya et al., J. Disp. Tech (2009)"
0.5752952846591588,0.0,0.4247047153408412,0.0,314,65,401.7247491576513,-1.65,1.908868119893249,1.0,"Fortunato et al., Adv. Mater (2012)"
0.3335292953011191,0.2652724921488146,0.11586419043421414,0.2853340221158522,323,57,94.4605402757721,-1.0795780756364461,0.8880191862724545,1.0,"Park et al., APL (2025)"
0.45879589532355297,0.28295662118812936,0.15313944205405683,0.10510804143426089,287,33,133.59510571830296,-0.40838959811600434,0.904070529155294,1.0,"Park et al., APL (2025)"
0.4684139810736395,0.1930574724378573,0.04450817521964545,0.2940203712688577,374,28,151.45570462562108,-1.0958108527862862,0.8388468518622756,1.0,"Kim et al., IEEE EDL (2023)"
0.4647584304615645,0.4758391209041408,0.05940244863429467,0.0,271,21,51.147670695101546,0.6933564836165633,0.7865971792793252,1.0,"Kamiya et al., J. Disp. Tech (2009)"
0.4095032059658578,0.30934903174961204,0.2811477622845301,0.0,161,24,22.89013268490591,-0.0026038730015518485,1.0938457151105565,1.0,"Nomura et al., Nature (2004)"
0.4960180470748567,0.1803178129214797,0.037323071836030175,0.2863410681676334,373,29,179.31263186802389,-1.141410884649348,0.8086011403775538,1.0,"Park et al., APL (2025)"
0.5345528079316079,0.0,0.46544719206839213,0.0,358,34,217.72538231869368,-1.34,2.2882880277359052,1.0,"Fortunato et al., Adv. Mater (2012)"
0.3666338859011807,0.34240827707072613,0.29095783702809325,0.0,256,37,34.481074513336445,-0.0003668917170954744,1.0747886423820054,1.0,"Nomura et al., Nature (2004)"
