In,Ga,Zn,Sn,Temp,Thick,Mobility,Vth,Stability
0.2670220437332556,0.2587763481595788,0.3369952543540708,0.13720635375309478,426,71,78.24183833451877,-6.798545310053571,1.646818566008204
0.22760413765762905,0.2173866249995475,0.32355689718115127,0.2314523401616722,447,67,93.979903721971,-6.976553347711709,2.1402037934031317
0.1853835559341737,0.15666009600039252,0.3229722494209663,0.3349840986444674,208,28,85.40772580737438,-6.653195225831072,3.8785509327001266
0.40320688176152175,0.0457131427278713,0.18310707312396657,0.3679729023866404,215,65,192.84148463740476,-9.779568785057371,5.345768881071045
0.28436072999154033,0.04473091673178155,0.40997637900918377,0.2609319742674943,254,71,97.32267990588473,-8.380624986983715,3.7884813101805728
0.03369342639852615,0.04285932774131042,0.7580490063395002,0.16539823952066318,472,46,60.16894715845786,-7.227154631510844,1.9087554797102873
0.2926809491070337,0.08706155831910478,0.20935369369525322,0.41090379887860834,364,24,171.47563209916936,-6.97020191335746,4.425767651555411
0.4773506554258296,0.05211198266239195,0.41483207947431466,0.05570528243746389,434,84,91.6488938765438,-8.786316910679128,2.184750758156777
0.31241359912021077,0.053573515891470844,0.17149647073917137,0.46251641424914697,262,97,229.50411174384953,-10.374433293724199,5.579652609020242
0.23830429229010963,0.23318320966920414,0.43450652584840355,0.0940059721922827,277,23,47.50114378563224,-3.738084171260855,2.2853122213251
0.12737662322042864,0.2427456142422191,0.3125717801347098,0.3173059824026424,341,62,86.09380681903946,-6.423738632558727,2.6101437738887263
0.3883574891389459,0.3279772878684009,0.029700973935121177,0.25396424905753207,219,27,110.47186349341825,-3.799008584172737,3.353846074960496
0.27763625553890814,0.20382017730341054,0.1705428134098199,0.34800075374786144,384,79,145.92588177601908,-8.039349761529088,3.1634106857804456
0.4728027592848745,0.010566871547905412,0.311806270066974,0.20482409910024613,363,43,125.94530966348452,-7.361514532129597,3.6412737344829678
0.2539771324619447,0.27882179929588125,0.2318360943027343,0.2353649739394398,215,54,72.14995191086437,-5.609300764569972,3.175926733190839
